rowid_test,type,feature,value,approach,dataset_name,syn_name,run_model,model_name,timestamp
1120,syn,parents,-0.0660108822833937,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1139,syn,parents,-0.107450367635215,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1142,syn,parents,-0.120404736758504,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1177,syn,parents,0.00827552805224172,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1180,syn,parents,-0.0894454044684135,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1272,syn,parents,-0.0250503871310302,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1327,syn,parents,-0.0845898265004415,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1333,syn,parents,-0.0853110269686263,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1342,syn,parents,-0.0788554835338152,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1351,syn,parents,-0.103807070751112,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1354,syn,parents,-0.0793724563431631,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1428,syn,parents,-0.105251884925568,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1462,syn,parents,-0.0947279192258879,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1514,syn,parents,-0.101271056920122,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1518,syn,parents,-0.067028137885394,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1572,syn,parents,-0.0907530456663171,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1576,syn,parents,-0.0890873200447499,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1586,syn,parents,-0.0871996290534785,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1620,syn,parents,-0.120404736758504,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1743,syn,parents,-0.114155877305756,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1760,syn,parents,0.0176349521004085,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1797,syn,parents,-0.0718527093694584,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1815,syn,parents,-0.113709140539048,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1831,syn,parents,0.00459436000889593,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1846,syn,parents,-0.115398244204381,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1858,syn,parents,-0.0835200223484139,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1885,syn,parents,-0.0723129184690989,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1938,syn,parents,-0.0890873200447499,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1948,syn,parents,-0.0993166643003413,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1969,syn,parents,-0.120623875329317,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1989,syn,parents,0.0293287652290225,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2049,syn,parents,-0.0960791925173207,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2066,syn,parents,-0.0903193295525475,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2067,syn,parents,-0.110860344124184,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2168,syn,parents,-0.0972240932633871,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2228,syn,parents,-0.123266984748139,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2336,syn,parents,-0.124136866719856,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2515,syn,parents,-0.0111786163095608,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2555,syn,parents,-0.0936195531938068,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2585,syn,parents,-0.0775259781896267,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2604,syn,parents,-0.0664909778891927,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2611,syn,parents,-0.0684019636906236,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2623,syn,parents,-0.112871565869069,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2644,syn,parents,-0.0314642626442962,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2738,syn,parents,-0.0871996290534785,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2774,syn,parents,-0.0780169859271445,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2842,syn,parents,0.00794139927444934,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2887,syn,parents,-0.113709140539048,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2916,syn,parents,-0.0945639095189377,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2917,syn,parents,-0.0946223949232264,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
2951,syn,parents,-0.100737596784064,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3111,syn,parents,-0.105251884925568,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
