rowid_test,counterfactual_rank,pred,measure_validation,measure_L0,measure_gower,type,dataset_name,syn_name,run_model,model_name,timestamp
1342,98,0.572832643985748,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,99,0.787636697292328,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,100,0.556804478168488,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1353,1,0.621587157249451,1,2,8.20833995591545,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,2,0.620975494384766,1,2,8.22827905440424,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,3,0.512716114521027,1,2,8.29805194289204,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,4,0.82156628370285,1,2,8.33170440717059,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,5,0.83201265335083,1,2,8.36550382175756,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,6,0.716745436191559,1,2,8.37129761108923,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,7,0.733405351638794,1,3,7.20649335116332,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,8,0.699036478996277,1,3,7.22813869119926,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,9,0.519688487052918,1,3,7.23817368083955,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,10,0.792859494686127,1,3,7.27367837084801,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,11,0.616201996803284,1,3,7.3108747307391,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,12,0.826358795166016,1,3,8.23292814744455,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,13,0.575968742370606,1,3,8.23773926263553,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,14,0.824364542961121,1,3,8.24885966254554,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,15,0.606791257858276,1,3,8.25094063727084,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,16,0.513790726661682,1,3,8.25450610107427,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,17,0.807884931564331,1,3,8.26164175824574,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,18,0.558929979801178,1,3,8.26353768640082,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,19,0.654517710208893,1,3,8.26575388832147,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,20,0.593820631504059,1,3,8.27092184800242,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,21,0.763063788414002,1,3,8.2865202500884,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,22,0.772594928741455,1,3,8.28900335327801,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,23,0.521433651447296,1,3,8.29688186859987,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,24,0.844125866889954,1,3,8.30070076491693,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,25,0.845195353031158,1,3,8.3020340977523,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,26,0.807775795459747,1,3,8.3123471248893,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,27,0.787201762199402,1,3,8.31550786363777,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,28,0.810111224651337,1,3,8.3179868362245,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,29,0.77712345123291,1,3,8.32104009163716,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,30,0.781483888626099,1,3,8.3252860265595,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,31,0.531298279762268,1,3,8.33027188014514,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,32,0.749455034732819,1,3,8.34502926508378,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,33,0.56967157125473,1,3,8.3475528692641,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,34,0.570892751216888,1,3,8.35097557548294,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,35,0.827577292919159,1,3,8.36074522789409,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,36,0.915630757808685,1,3,8.36993150044007,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,37,0.801354050636292,1,3,8.37965119657334,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,38,0.649016976356506,1,3,8.39397831689873,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,39,0.760020792484283,1,3,8.39601772772022,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,40,0.515689194202423,1,3,8.39733882492769,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,41,0.746950924396515,1,3,8.40435665073655,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,42,0.824561178684235,1,3,8.41555968949022,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,43,0.541938841342926,1,3,8.42235521617631,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,44,0.612050533294678,1,3,8.4254453907325,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,45,0.776216149330139,1,3,8.43074776390227,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,46,0.569491624832153,1,3,8.44063828412642,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,47,0.577576816082001,1,3,8.44941788752676,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,48,0.676717221736908,1,3,8.44998442414408,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,49,0.624349534511566,1,3,8.45980807981161,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,50,0.632354378700256,1,3,8.46099867048907,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,51,0.856164336204529,1,3,8.46265533124753,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,52,0.658886671066284,1,3,8.46492411981273,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,53,0.800681889057159,1,3,8.47398255013088,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,54,0.820430219173431,1,3,8.47416464894504,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,55,0.551694273948669,1,3,8.4747613826003,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,56,0.840583384037018,1,3,8.48485812052528,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,57,0.637354493141174,1,3,8.48975910545519,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,58,0.758422434329987,1,3,8.49083714264492,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,59,0.539758205413818,1,3,8.51248555660725,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,60,0.515376806259155,1,3,8.51780058619852,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,61,0.545211493968964,1,3,8.51934335886818,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,62,0.790803074836731,1,3,8.52147551637296,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,63,0.81290066242218,1,3,8.52275554124139,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,64,0.606529295444489,1,3,8.52803382819583,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,65,0.835368454456329,1,3,8.53619001953059,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,66,0.539205133914948,1,3,8.54577556376545,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,67,0.517673015594482,1,3,8.56026912822154,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,68,0.731328189373016,1,3,8.56080714856774,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,69,0.675448715686798,1,3,8.56950614235027,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,70,0.700829744338989,1,3,8.5741535498597,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,71,0.701530575752258,1,3,8.5843266007539,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,72,0.682064175605774,1,3,8.58801227214665,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,73,0.663682878017426,1,3,8.58904528756343,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,74,0.51776123046875,1,3,8.59410441136506,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,75,0.854590713977814,1,3,8.60902683533625,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,76,0.614439427852631,1,3,8.61025435947408,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,77,0.518153011798859,1,3,8.61421354118841,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,78,0.593923091888428,1,3,8.61617195838177,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,79,0.793695867061615,1,3,8.62320323482278,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,80,0.717827677726746,1,3,8.62376153760178,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,81,0.598481416702271,1,3,8.62988174973597,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,82,0.657515287399292,1,3,8.63868485148363,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,83,0.740675628185272,1,3,8.64467480211924,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,84,0.663612425327301,1,3,8.66454679378004,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,85,0.706440448760986,1,3,8.67567882949415,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,86,0.51465255022049,1,3,8.69267195807057,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,87,0.515216410160065,1,3,8.73548705242707,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,88,0.820572853088379,1,3,8.76523673974322,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,89,0.75721663236618,1,3,8.78255810317135,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,90,0.581430792808533,1,3,8.85371437484534,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,91,0.846182465553284,1,3,8.94356135902152,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,92,0.708304882049561,1,3,8.95304111069059,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,93,0.548117816448212,1,4,6.16044682605294,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,94,0.554262816905975,1,4,6.21536576316016,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,95,0.559027671813965,1,4,6.23293225814508,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,96,0.66267591714859,1,4,6.29632806655924,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,97,0.635400593280792,1,4,6.33262924863477,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,98,0.830516457557678,1,4,6.35368258535008,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,99,0.513638377189636,1,4,6.37746820521575,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
1353,100,0.640582084655762,1,4,6.3941943102483,syn,adult_complete,TabSyn,2,xgboost,2025-03-06 09:46:19
